user_id,content_id,action,timestamp,device,region,session_id,date
182,1000,play,2023-09-02 08:48:55,tablet,APAC,f6vQ2a,2023-09-02
147,1001,pause,2023-09-02 05:19:35,mobile,APAC,jr1sgs,2023-09-02
133,1002,skip,2023-09-02 09:08:16,mobile,EU,yJBdlw,2023-09-02
125,1008,skip,2023-09-02 23:17:55,desktop,EU,b3HHX8,2023-09-02
144,1001,skip,2023-09-02 06:38:49,tablet,US,PKBNB1,2023-09-02
195,1000,forward,2023-09-02 11:30:00,desktop,US,YBT6h1,2023-09-02
200,1004,play,2023-09-02 01:29:41,tablet,APAC,8eNhx7,2023-09-02
130,1010,forward,2023-09-02 12:28:36,tablet,US,kEX7Su,2023-09-02
148,1010,play,2023-09-02 00:55:18,mobile,EU,wkGVJ8,2023-09-02
141,1003,skip,2023-09-02 14:16:13,mobile,EU,6jWlvN,2023-09-02
187,1007,pause,2023-09-02 05:16:24,tablet,US,bkvOoO,2023-09-02
168,1003,pause,2023-09-02 17:14:29,desktop,APAC,HL8rWB,2023-09-02
101,1004,forward,2023-09-02 09:01:01,tablet,EU,tfWzoM,2023-09-02
116,1005,play,2023-09-02 04:28:14,desktop,APAC,TEpSMu,2023-09-02
107,1003,skip,2023-09-02 16:30:29,desktop,US,2wL6RC,2023-09-02
128,1000,forward,2023-09-02 21:47:44,mobile,APAC,k0Ogyw,2023-09-02
159,1001,skip,2023-09-02 14:57:59,mobile,APAC,00Oves,2023-09-02
129,1009,forward,2023-09-02 05:54:32,mobile,APAC,j0cHy1,2023-09-02
126,1006,skip,2023-09-02 06:58:37,tablet,EU,NDn20Z,2023-09-02
145,1007,skip,2023-09-02 14:29:52,desktop,EU,ivbnEn,2023-09-02
145,1003,skip,2023-09-02 10:20:30,mobile,EU,d4yBNm,2023-09-02
173,1001,play,2023-09-02 05:17:21,desktop,EU,JOOOya,2023-09-02
167,1004,skip,2023-09-02 09:50:19,mobile,APAC,RHi0cY,2023-09-02
146,1000,forward,2023-09-02 06:48:26,tablet,US,si4TMl,2023-09-02
112,1001,pause,2023-09-02 23:52:12,mobile,APAC,rpnTAZ,2023-09-02
121,1000,skip,2023-09-02 01:43:27,tablet,US,gzVQLq,2023-09-02
177,1004,pause,2023-09-02 12:35:05,desktop,APAC,o1NeGr,2023-09-02
153,1002,skip,2023-09-02 04:28:23,tablet,APAC,z4THRF,2023-09-02
131,1001,play,2023-09-02 03:07:31,mobile,EU,BfIh0O,2023-09-02
113,1008,pause,2023-09-02 09:03:03,tablet,APAC,KQYvXF,2023-09-02
