user_id,content_id,action,timestamp,device,region,session_id,date
171,1005,pause,2023-09-05 16:32:10,desktop,EU,blfcId,2023-09-05
116,1003,pause,2023-09-05 17:51:50,mobile,EU,MK22rU,2023-09-05
188,1005,skip,2023-09-05 21:27:15,tablet,US,PtUj94,2023-09-05
136,1002,play,2023-09-05 11:05:33,mobile,US,VBaSAp,2023-09-05
134,1010,play,2023-09-05 10:08:05,desktop,EU,zNZVtM,2023-09-05
115,1007,forward,2023-09-05 07:08:33,mobile,US,uln3fI,2023-09-05
103,1006,play,2023-09-05 01:36:33,tablet,US,GCjlTW,2023-09-05
155,1009,pause,2023-09-05 00:26:15,desktop,EU,Gf4oSB,2023-09-05
198,1003,skip,2023-09-05 10:38:43,tablet,EU,80KPxH,2023-09-05
111,1009,forward,2023-09-05 06:19:46,mobile,APAC,gmqjli,2023-09-05
143,1010,pause,2023-09-05 14:09:07,desktop,EU,skSMjG,2023-09-05
163,1002,forward,2023-09-05 16:23:01,tablet,US,xCMaLn,2023-09-05
116,1010,pause,2023-09-05 08:31:40,desktop,APAC,blzmS9,2023-09-05
131,1008,forward,2023-09-05 15:32:44,desktop,APAC,Uj3WFd,2023-09-05
130,1010,play,2023-09-05 02:06:37,mobile,US,SH29OO,2023-09-05
187,1000,skip,2023-09-05 00:57:22,tablet,US,ljT1C6,2023-09-05
160,1006,play,2023-09-05 21:49:33,mobile,US,ECjMKZ,2023-09-05
100,1003,forward,2023-09-05 21:53:17,tablet,EU,WFmcVX,2023-09-05
199,1009,pause,2023-09-05 21:39:50,desktop,US,cG52Jn,2023-09-05
104,1001,skip,2023-09-05 19:40:11,tablet,US,oxQl4h,2023-09-05
118,1007,pause,2023-09-05 00:43:46,tablet,US,Jbtycu,2023-09-05
123,1002,pause,2023-09-05 22:53:43,tablet,US,ZmiFSX,2023-09-05
