user_id,content_id,action,timestamp,device,region,session_id,date
180,1007,forward,2023-09-07 20:15:44,desktop,APAC,VR7Sck,2023-09-07
197,1005,pause,2023-09-07 16:17:07,mobile,EU,aK9iTY,2023-09-07
104,1008,forward,2023-09-07 00:05:01,desktop,APAC,eyf4PH,2023-09-07
189,1010,forward,2023-09-07 20:02:22,mobile,US,T8iFBT,2023-09-07
174,1009,forward,2023-09-07 17:54:09,tablet,US,zJ82sR,2023-09-07
135,1006,play,2023-09-07 16:11:08,tablet,APAC,YYqDg9,2023-09-07
121,1006,play,2023-09-07 12:05:05,desktop,US,IEujz5,2023-09-07
197,1010,forward,2023-09-07 13:23:43,mobile,EU,N3Z34J,2023-09-07
108,1010,forward,2023-09-07 08:27:21,mobile,EU,JGbFzb,2023-09-07
174,1009,skip,2023-09-07 10:49:17,desktop,US,dOTz7W,2023-09-07
178,1009,skip,2023-09-07 23:09:14,mobile,US,BZ5iJp,2023-09-07
126,1009,pause,2023-09-07 00:34:03,desktop,US,Joi4p0,2023-09-07
169,1005,forward,2023-09-07 08:14:40,desktop,US,6f58iS,2023-09-07
174,1007,forward,2023-09-07 02:08:47,tablet,US,bSLnTi,2023-09-07
197,1007,play,2023-09-07 05:39:30,tablet,APAC,EDxGZ9,2023-09-07
151,1006,pause,2023-09-07 12:50:16,mobile,US,CHwZT4,2023-09-07
189,1002,play,2023-09-07 07:42:33,tablet,EU,MEIQxX,2023-09-07
151,1002,skip,2023-09-07 02:33:02,mobile,US,HcNy0u,2023-09-07
101,1009,pause,2023-09-07 06:54:16,desktop,US,sY7fAh,2023-09-07
147,1001,pause,2023-09-07 08:46:40,mobile,APAC,X78o6c,2023-09-07
147,1007,forward,2023-09-07 02:52:40,tablet,US,H8zJCQ,2023-09-07
101,1010,play,2023-09-07 14:04:10,desktop,US,usCDSh,2023-09-07
145,1004,forward,2023-09-07 19:12:21,desktop,APAC,TGh7vh,2023-09-07
180,1002,forward,2023-09-07 17:01:51,mobile,US,igFiGA,2023-09-07
170,1005,play,2023-09-07 12:57:53,desktop,APAC,ZGDTj3,2023-09-07
138,1001,pause,2023-09-07 12:36:54,tablet,APAC,SmAEgf,2023-09-07
102,1007,skip,2023-09-07 14:36:14,mobile,APAC,fslejA,2023-09-07
194,1006,pause,2023-09-07 11:29:16,mobile,APAC,CYQKfS,2023-09-07
165,1009,pause,2023-09-07 08:15:44,desktop,US,BXYU6M,2023-09-07
136,1002,forward,2023-09-07 17:30:07,tablet,US,OKtUQS,2023-09-07
